timestamp,id,topic,method,norm_pos,diameter,confidence,sphere,projected_sphere,circle_3d,diameter_3d,ellipse,location,model_confidence,theta,phi,interpolated
-796109.767585,1,pupil.1.3d,pye3d 0.3.0 real-time,"[0.35841998554908927, 0.5658330377783296]",54.447340550953896,1.0,"{'center': [2.017345890181746, 3.5715986255211245, 41.853736884410736], 'radius': 10.392304845413264}","{'center': [109.49812664011793, 120.07019487547953], 'axes': [168.16695029302, 168.16695029302], 'angle': 0.0}","{'center': [-2.9121526575262378, -1.2091876032438504, 34.05347233101281], 'normal': [-0.47434121891484554, -0.4600313693525857, -0.7505808066090975], 'radius': 2.8923482658684643}",5.7855984609269155,"{'center': [68.81663722542514, 83.3600567465607], 'axes': [41.08838303635129, 54.439524898224846], 'angle': 42.564383009734435}","[68.81663722542514, 83.3600567465607]",1.0,2.048826854710636,-2.134388909843717,0
-796109.7595950001,1,pupil.1.3d,pye3d 0.3.0 real-time,"[0.35848754295730495, 0.5661225556341716]",54.43516391468436,1.0,"{'center': [2.017345890181746, 3.5715986255211245, 41.853736884410736], 'radius': 10.392304845413264}","{'center': [109.49812664011793, 120.07019487547953], 'axes': [168.16695029302, 168.16695029302], 'angle': 0.0}","{'center': [-2.91053480475573, -1.215066061272407, 34.05605562440361], 'normal': [-0.4741855409594186, -0.46059702424012017, -0.7503322290866691], 'radius': 2.8861130962107633}",5.78422959022279,"{'center': [68.82960824780255, 83.30446931823904], 'axes': [40.98930827846968, 54.32524120452945], 'angle': 42.614796984136625}","[68.82960824780255, 83.30446931823904]",1.0,2.049464028506221,-2.134390256963614,0
-796109.750909,1,pupil.1.3d,pye3d 0.3.0 real-time,"[0.35842646323535643, 0.5662687403711315]",54.422598543019284,1.0,"{'center': [2.017345890181746, 3.5715986255211245, 41.853736884410736], 'radius': 10.392304845413264}","{'center': [109.49812664011793, 120.07019487547953], 'axes': [168.16695029302, 168.16695029302], 'angle': 0.0}","{'center': [-2.912281456965504, -1.218486096320988, 34.05926046993409], 'normal': [-0.47435361264666753, -0.46092611726610955, -0.7500238426817137], 'radius': 2.893136377074955}",5.78281579188962,"{'center': [68.81788094118843, 83.27640184874274], 'axes': [41.06442979279477, 54.44810447122756], 'angle': 42.62820805866911}","[68.81788094118843, 83.27640184874274]",1.0,2.049834827543998,-2.1347360008018725,0
-796109.738546,1,pupil.1.3d,pye3d 0.3.0 real-time,"[0.3586057246686159, 0.5658972949962744]",54.40967071608698,1.0,"{'center': [2.017345890181746, 3.5715986255211245, 41.853736884410736], 'radius': 10.392304845413264}","{'center': [109.49812664011793, 120.07019487547953], 'axes': [168.16695029302, 168.16695029302], 'angle': 0.0}","{'center': [-2.907960508307604, -1.2104430933574033, 34.051593981342045], 'normal': [-0.47393782916820204, -0.4601521789450898, -0.7507615508904396], 'radius': 2.888997764873432}",5.781359337188155,"{'center': [68.85229913637426, 83.34771936071532], 'axes': [41.05523607928381, 54.38099572382718], 'angle': 42.59786249267936}","[68.85229913637426, 83.34771936071532]",1.0,2.04896292125985,-2.133896072834457,0
-796109.732664,1,pupil.1.3d,pye3d 0.3.0 real-time,"[0.358615305009604, 0.5659627447661577]",54.39640481094624,1.0,"{'center': [2.017345890181746, 3.5715986255211245, 41.853736884410736], 'radius': 10.392304845413264}","{'center': [109.49812664011793, 120.07019487547953], 'axes': [168.16695029302, 168.16695029302], 'angle': 0.0}","{'center': [-2.9078469495727077, -1.2118973590152962, 34.052413813472356], 'normal': [-0.4739269019738418, -0.46029211572326606, -0.7506826625069183], 'radius': 2.890301859714534}",5.779862330032467,"{'center': [68.85413856184397, 83.3351530048977], 'axes': [41.067941089345744, 54.40356357232671], 'angle': 42.608637154739284}","[68.85413856184397, 83.3351530048977]",1.0,2.049120542549059,-2.133933099776824,0
-796109.727592,1,pupil.1.3d,pye3d 0.3.0 real-time,"[0.3585762313215573, 0.5662500902556733]",54.382826815148036,1.0,"{'center': [2.017345890181746, 3.5715986255211245, 41.853736884410736], 'radius': 10.392304845413264}","{'center': [109.49812664011793, 120.07019487547953], 'axes': [168.16695029302, 168.16695029302], 'angle': 0.0}","{'center': [-2.9089097089268448, -1.218047134833025, 34.056859351540744], 'normal': [-0.4740291660403743, -0.46088387817723636, -0.7502548904068389], 'radius': 2.8914279859615966}",5.778327123295054,"{'center': [68.846636413739, 83.27998267091073], 'axes': [41.056393058565476, 54.419557533857464], 'angle': 42.6450675979112}","[68.846636413739, 83.27998267091073]",1.0,2.049787231495166,-2.1342878596120225,0
-796109.71953,1,pupil.1.3d,pye3d 0.3.0 real-time,"[0.3586101543322395, 0.565990104775937]",54.36896862614195,1.0,"{'center': [2.017345890181746, 3.5715986255211245, 41.853736884410736], 'radius': 10.392304845413264}","{'center': [109.49812664011793, 120.07019487547953], 'axes': [168.16695029302, 168.16695029302], 'angle': 0.0}","{'center': [-2.9077468969437, -1.2122510960550192, 34.05256755670218], 'normal': [-0.47391727440512676, -0.4603261540857838, -0.750667868557731], 'radius': 2.8854528891962987}",5.776756810472121,"{'center': [68.85314963178998, 83.32989988302008], 'axes': [41.001704532201884, 54.31653704343951], 'angle': 42.61170263125346}","[68.85314963178998, 83.32989988302008]",1.0,2.049158884457415,-2.1339328257073378,0
-796109.710919,1,pupil.1.3d,pye3d 0.3.0 real-time,"[0.35868073826395674, 0.5658265516701835]",54.354872254506255,1.0,"{'center': [2.017345890181746, 3.5715986255211245, 41.853736884410736], 'radius': 10.392304845413264}","{'center': [109.49812664011793, 120.07019487547953], 'axes': [168.16695029302, 168.16695029302], 'angle': 0.0}","{'center': [-2.9064137378727013, -1.2090920948234753, 34.04978997521459], 'normal': [-0.47378899111370776, -0.4600221790505501, -0.750935141460991], 'radius': 2.8918488014112955}",5.775155697831783,"{'center': [68.8667017466797, 83.36130207932477], 'axes': [41.10471110873709, 54.43368002995559], 'angle': 42.59759352283694}","[68.8667017466797, 83.36130207932477]",1.0,2.0488165041645967,-2.1336499632817434,0
-796109.700872,1,pupil.1.3d,pye3d 0.3.0 real-time,"[0.35836866894581343, 0.5658452202280737]",54.340593472170625,1.0,"{'center': [2.017345890181746, 3.5715986255211245, 41.853736884410736], 'radius': 10.392304845413264}","{'center': [109.49812664011793, 120.07019487547953], 'axes': [168.16695029302, 168.16695029302], 'angle': 0.0}","{'center': [-2.913103369020603, -1.209254668246606, 34.05411433675491], 'normal': [-0.4744327011710445, -0.46003782268548465, -0.7505190295777615], 'radius': 2.888523176143165}",5.773529706495546,"{'center': [68.80678443759618, 83.35771771620986], 'axes': [41.03285116391169, 54.37046553255336], 'angle': 42.55925618942011}","[68.80678443759618, 83.35771771620986]",1.0,2.0488341227877775,-2.1345131769335333,0
-796109.695539,1,pupil.1.3d,pye3d 0.3.0 real-time,"[0.35837638143146316, 0.5656191933368042]",54.32620424632985,1.0,"{'center': [2.017345890181746, 3.5715986255211245, 41.853736884410736], 'radius': 10.392304845413264}","{'center': [109.49812664011793, 120.07019487547953], 'axes': [168.16695029302, 168.16695029302], 'angle': 0.0}","{'center': [-2.9127490708774006, -1.2043897430662573, 34.05091055172479], 'normal': [-0.4743986088163193, -0.45956969504174106, -0.750827313936022], 'radius': 2.8871557595591213}",5.771886634789543,"{'center': [68.80826523484093, 83.40111487933358], 'axes': [41.03358148308591, 54.34900617105364], 'angle': 42.527505415020315}","[68.80826523484093, 83.40111487933358]",1.0,2.048306964208272,-2.134295257316225,0
-796109.687502,1,pupil.1.3d,pye3d 0.3.0 real-time,"[0.35863186677752545, 0.5658652436659173]",54.31179309687465,1.0,"{'center': [2.017345890181746, 3.5715986255211245, 41.853736884410736], 'radius': 10.392304845413264}","{'center': [109.49812664011793, 120.07019487547953], 'axes': [168.16695029302, 168.16695029302], 'angle': 0.0}","{'center': [-2.907025614162607, -1.2094251640848546, 34.050380118862776], 'normal': [-0.47384786893715575, -0.46005422865516943, -0.7508783548619666], 'radius': 2.8816255051946205}",5.770236189665445,"{'center': [68.85731842128489, 83.35387321614388], 'axes': [40.96326281692022, 54.249981920479705], 'angle': 42.59633049472354}","[68.85731842128489, 83.35387321614388]",1.0,2.048852600162245,-2.1337401731537113,0
-796109.67519,1,pupil.1.3d,pye3d 0.3.0 real-time,"[0.35851032392422505, 0.5658323456513721]",54.29746344405371,1.0,"{'center': [2.017345890181746, 3.5715986255211245, 41.853736884410736], 'radius': 10.392304845413264}","{'center': [109.49812664011793, 120.07019487547953], 'axes': [168.16695029302, 168.16695029302], 'angle': 0.0}","{'center': [-2.909844059766283, -1.2088683903400037, 34.05181825452264], 'normal': [-0.47411907399181885, -0.46000065307659155, -0.7507399701935749], 'radius': 2.8853419392779354}",5.76858979643965,"{'center': [68.8339821934512, 83.36018963493655], 'axes': [41.00427640593691, 54.31542118132472], 'angle': 42.575807032096456}","[68.8339821934512, 83.36018963493655]",1.0,2.0487922608277622,-2.1340816545238956,0
-796109.667502,1,pupil.1.3d,pye3d 0.3.0 real-time,"[0.35842151790223514, 0.5657081364799548]",54.283331227146604,1.0,"{'center': [2.017345890181746, 3.5715986255211245, 41.853736884410736], 'radius': 10.392304845413264}","{'center': [109.49812664011793, 120.07019487547953], 'axes': [168.16695029302, 168.16695029302], 'angle': 0.0}","{'center': [-2.911730725616022, -1.2062144016083938, 34.051384265271615], 'normal': [-0.4743006184978551, -0.4597452728918213, -0.7507817308287253], 'radius': 2.8855090914966124}",5.766960329678987,"{'center': [68.81693143722914, 83.38403779584867], 'axes': [41.008757904337166, 54.318971984063154], 'angle': 42.54621449861198}","[68.81693143722914, 83.38403779584867]",1.0,2.0485046655781796,-2.134229391641167,0
-796109.659323,1,pupil.1.3d,pye3d 0.3.0 real-time,"[0.358364738291435, 0.5655781264396282]",54.269522749367724,1.0,"{'center': [2.017345890181746, 3.5715986255211245, 41.853736884410736], 'radius': 10.392304845413264}","{'center': [109.49812664011793, 120.07019487547953], 'axes': [168.16695029302, 168.16695029302], 'angle': 0.0}","{'center': [-2.912733853791769, -1.2032676580747683, 34.050214238077146], 'normal': [-0.47439714455157167, -0.4594617223630928, -0.7508943167480064], 'radius': 2.881853460133142}",5.765361870489089,"{'center': [68.80602975195552, 83.40899972359136], 'axes': [40.966249093087704, 54.25465163048836], 'angle': 42.51980177324655}","[68.80602975195552, 83.40899972359136]",1.0,2.048185396577913,-2.134253569230621,0
-796109.651251,1,pupil.1.3d,pye3d 0.3.0 real-time,"[0.35843413631759735, 0.5654274613616832]",54.25617244941768,1.0,"{'center': [2.017345890181746, 3.5715986255211245, 41.853736884410736], 'radius': 10.392304845413264}","{'center': [109.49812664011793, 120.07019487547953], 'axes': [168.16695029302, 168.16695029302], 'angle': 0.0}","{'center': [-2.9111569908844066, -1.200107663353295, 34.047285805716974], 'normal': [-0.47424541084756483, -0.459157651729246, -0.7511761052832477], 'radius': 2.8823666138452175}",5.763809454323243,"{'center': [68.81935417297869, 83.43792741855684], 'axes': [40.990884300675106, 54.26652899627711], 'angle': 42.50708891556368}","[68.81935417297869, 83.43792741855684]",1.0,2.0478430811632133,-2.1339397481838533,0
-796109.643485,1,pupil.1.3d,pye3d 0.3.0 real-time,"[0.35837199463163766, 0.5654118768603358]",54.24342011851546,1.0,"{'center': [2.017345890181746, 3.5715986255211245, 41.853736884410736], 'radius': 10.392304845413264}","{'center': [109.49812664011793, 120.07019487547953], 'axes': [168.16695029302, 168.16695029302], 'angle': 0.0}","{'center': [-2.9122894789343503, -1.1995421459342186, 34.0476552254402], 'normal': [-0.4743543845609797, -0.4591032347902235, -0.7511405578538061], 'radius': 2.8776421259642864}",5.762318755746142,"{'center': [68.80742296927443, 83.44091964281554], 'axes': [40.924739163769246, 54.18156623457104], 'angle': 42.49648646777074}","[68.80742296927443, 83.44091964281554]",1.0,2.0477818262708736,-2.1340648327642597,0
-796109.635518,1,pupil.1.3d,pye3d 0.3.0 real-time,"[0.3584021873519257, 0.5654808071989135]",54.2314080517233,1.0,"{'center': [2.017345890181746, 3.5715986255211245, 41.853736884410736], 'radius': 10.392304845413264}","{'center': [109.49812664011793, 120.07019487547953], 'axes': [168.16695029302, 168.16695029302], 'angle': 0.0}","{'center': [-2.9117477978808317, -1.2010964657187229, 34.04826335743258], 'normal': [-0.4743022612773024, -0.45925279928122187, -0.7510820403255556], 'radius': 2.8794188786436195}",5.760905769248132,"{'center': [68.81321997156974, 83.4276850178086], 'axes': [40.94519806807077, 54.21279963320302], 'angle': 42.51050353025649}","[68.81321997156974, 83.4276850178086]",1.0,2.047950189478404,-2.1340503947153566,0
